FF 51 03 07 A1 20,C major
FF 58 04 04 02 18 08,C major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,C major
C0 06,C major
87 37 7F,C major,0.00520833333333
90 48 7F,C major,0.0104166666667
87 2B 7F,C major,0.21484375
80 48 7F,C major,0.0169270833333
9A 45 7F,C major,0.00260416666667
8A 45 7F,C major,0.21875
9C 47 7F,C major,0.0169270833333
8C 47 7F,C major,0.231770833333
97 43 7F,C major,0.00260416666667
87 43 7F,C major,0.21875
92 4A 7F,C major,0.015625
97 37 7F,C major,0.234375
82 4A 7F,C major,0.204427083333
87 37 7F,C major,0.0247395833333
97 4F 7F,C major,0.00651041666667
9A 39 7F,C major
8A 39 7F,C major,0.229166666667
9C 3B 7F,C major,0.00520833333333
87 4F 7F,C major,0.204427083333
8C 3B 7F,C major,0.0247395833333
97 4F 7F,C major,0.00520833333333
90 3C 7F,C major
87 4F 7F,C major,0.11328125
95 4D 7F,C major,0.00390625
80 3C 7F,C major,0.111979166667
85 4D 7F,C major,0.00260416666667
94 4C 7F,C major,0.00260416666667
9A 39 7F,C major
84 4C 7F,C major,0.11328125
95 4D 7F,C major,0.00390625
8A 39 7F,C major,0.111979166667
85 4D 7F,C major,0.00260416666667
97 4F 7F,C major,0.00390625
9C 3B 7F,C major
8C 3B 7F,C major,0.229166666667
97 37 7F,C major,0.00520833333333
87 37 7F,C major,0.229166666667
87 4F 7F,C major,0.00260416666667
94 4C 7F,C major,0.00260416666667
90 3C 7F,C major
84 4C 7F,C major,0.231770833333
9A 51 7F,C major,0.00260416666667
8A 51 7F,C major,0.21875
80 3C 7F,C major,0.0104166666667
97 4F 7F,C major,0.00651041666667
9C 3B 7F,C major
87 4F 7F,C major,0.21875
95 4D 7F,C major,0.015625
8C 3B 7F,C major,0.217447916667
85 4D 7F,C major,0.00130208333333
94 4C 7F,C major,0.015625
90 3C 7F,C major
84 4C 7F,C major,0.231770833333
97 4F 7F,C major,0.00260416666667
87 4F 7F,C major,0.21875
80 3C 7F,C major,0.0104166666667
95 4D 7F,C major,0.00651041666667
92 3E 7F,C major
85 4D 7F,C major,0.231770833333
9A 51 7F,C major,0.00260416666667
82 3E 7F,C major,0.217447916667
8A 51 7F,C major,0.00130208333333
97 4F 7F,C major,0.015625
94 40 7F,C major
87 4F 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.21875
94 4C 7F,C major,0.0169270833333
97 37 7F,C major
84 40 7F,C major,0.04296875
84 4C 7F,C major,0.17578125
92 4A 7F,C major,0.015625
87 37 7F,C major,0.217447916667
82 4A 7F,C major,0.00130208333333
90 48 7F,C major,0.015625
9A 39 7F,C major
80 48 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 4C 7F,C major,0.21875
8A 39 7F,C major,0.0104166666667
92 4A 7F,C major,0.00651041666667
9C 3B 7F,C major
82 4A 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
8C 3B 7F,C major,0.217447916667
85 4D 7F,C major,0.00130208333333
94 4C 7F,C major,0.015625
90 3C 7F,C major
84 4C 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.21875
90 48 7F,C major,0.0169270833333
94 34 7F,C major
80 3C 7F,C major,0.04296875
80 48 7F,C major,0.17578125
9C 47 7F,C major,0.015625
84 34 7F,C major,0.217447916667
8C 47 7F,C major,0.00130208333333
9A 45 7F,C major,0.015625
96 36 7F,C major
8A 45 7F,C major,0.231770833333
90 48 7F,C major,0.00260416666667
80 48 7F,C major,0.21875
86 36 7F,C major,0.0104166666667
9C 47 7F,C major,0.00651041666667
97 37 7F,C major
8C 47 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.21875
87 37 7F,C major,0.0104166666667
90 48 7F,C major,0.00520833333333
9A 39 7F,C major
80 48 7F,C major,0.231770833333
9C 47 7F,C major,0.00260416666667
8C 47 7F,C major,0.21875
8A 39 7F,C major,0.0104166666667
9A 45 7F,C major,0.00651041666667
9C 3B 7F,C major
8A 45 7F,C major,0.21875
97 43 7F,C major,0.015625
87 43 7F,C major,0.21875
8C 3B 7F,C major,0.0104166666667
96 42 7F,C major,0.00520833333333
90 3C 7F,C major
9C 3B 7F,C major,0.122395833333
80 3C 7F,C major,0.00390625
86 42 7F,C major,0.10546875
9A 45 7F,C major,0.00260416666667
90 3C 7F,C major,0.0104166666667
8C 3B 7F,C major,0.00390625
8A 45 7F,C major,0.204427083333
97 43 7F,C major,0.0169270833333
87 43 7F,C major,0.231770833333
9C 47 7F,C major,0.00260416666667
8C 47 7F,C major,0.21875
9A 45 7F,C major,0.015625
80 3C 7F,C major,0.0533854166667
92 32 7F,C major,0.180989583333
8A 45 7F,C major,0.204427083333
82 32 7F,C major,0.0247395833333
92 3E 7F,C major,0.00651041666667
94 34 7F,C major
84 34 7F,C major,0.229166666667
96 36 7F,C major,0.00520833333333
82 3E 7F,C major,0.204427083333
86 36 7F,C major,0.0247395833333
90 48 7F,C major,0.00520833333333
97 37 7F,C major
80 48 7F,C major,0.11328125
9C 47 7F,C major,0.00390625
87 37 7F,C major,0.111979166667
8C 47 7F,C major,0.00260416666667
90 48 7F,C major,0.00260416666667
94 34 7F,C major
84 34 7F,C major,0.229166666667
96 36 7F,C major,0.00651041666667
86 36 7F,C major,0.229166666667
80 48 7F,C major,0.00130208333333
92 4A 7F,C major,0.00390625
92 32 7F,C major
82 32 7F,C major,0.229166666667
82 4A 7F,C major,0.00260416666667
9C 47 7F,C major,0.00260416666667
97 37 7F,C major
8C 47 7F,C major,0.231770833333
9A 45 7F,C major,0.00260416666667
8A 45 7F,C major,0.21875
87 37 7F,C major,0.0104166666667
97 43 7F,C major,0.00651041666667
9C 2F 7F,C major
87 43 7F,C major,0.21875
96 42 7F,C major,0.015625
86 42 7F,C major,0.21875
8C 2F 7F,C major,0.0104166666667
94 40 7F,C major,0.00520833333333
90 30 7F,C major
84 40 7F,C major,0.231770833333
97 43 7F,C major,0.00260416666667
87 43 7F,C major,0.21875
80 30 7F,C major,0.0104166666667
96 42 7F,C major,0.00651041666667
92 32 7F,C major
86 42 7F,C major,0.231770833333
9A 45 7F,C major,0.00260416666667
82 32 7F,C major,0.217447916667
8A 45 7F,C major,0.00130208333333
97 43 7F,C major,0.015625
94 34 7F,C major
87 43 7F,C major,0.231770833333
9C 47 7F,C major,0.00260416666667
8C 47 7F,C major,0.21875
84 34 7F,C major,0.0104166666667
9A 45 7F,C major,0.00651041666667
96 36 7F,C major
8A 45 7F,C major,0.231770833333
90 48 7F,C major,0.00260416666667
86 36 7F,C major,0.217447916667
80 48 7F,C major,0.00130208333333
9C 47 7F,C major,0.015625
97 37 7F,C major
8C 47 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.21875
87 37 7F,C major,0.0104166666667
90 48 7F,C major,0.00651041666667
94 34 7F,C major
80 48 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 34 7F,C major,0.217447916667
84 4C 7F,C major,0.00130208333333
92 4A 7F,C major,0.015625
9C 2F 7F,C major
82 4A 7F,C major,0.231770833333
9C 47 7F,C major,0.00260416666667
8C 47 7F,C major,0.11328125
90 48 7F,C major,0.00390625
80 48 7F,C major,0.11328125
92 4A 7F,C major,0.00390625
82 4A 7F,C major,0.21875
8C 2F 7F,C major,0.00911458333333
97 4F 7F,C major,0.00651041666667
90 30 7F,C major
87 4F 7F,C major,0.21875
80 30 7F,C major,0.0104166666667
90 48 7F,C major,0.00520833333333
92 32 7F,C major
80 48 7F,C major,0.11328125
9C 47 7F,C major,0.00390625
8C 47 7F,C major,0.11328125
90 48 7F,C major,0.00260416666667
80 48 7F,C major,0.11328125
9C 47 7F,C major,0.00390625
8C 47 7F,C major,0.11328125
9A 45 7F,C major,0.00390625
92 26 7F,C major
8A 45 7F,C major,0.231770833333
97 43 7F,C major,0.00260416666667
82 32 7F,C major,0.22265625
82 26 7F,C major,0.00651041666667
87 43 7F,C major,0.00260416666667
97 43 7F,C major,0.00260416666667
97 2B 7F,C major,0.234375
87 2B 7F,C major,0.229166666667
9A 2D 7F,C major,0.00651041666667
8A 2D 7F,C major,0.229166666667
9C 2F 7F,C major,0.00520833333333
8C 2F 7F,C major,0.229166666667
90 30 7F,C major,0.00520833333333
80 30 7F,C major,0.229166666667
9A 2D 7F,C major,0.00520833333333
8A 2D 7F,C major,0.229166666667
87 43 7F,C major,0.00260416666667
9C 2F 7F,C major,0.00390625
8C 2F 7F,C major,0.229166666667
97 2B 7F,C major,0.00520833333333
87 2B 7F,C major,0.229166666667
92 32 7F,C major,0.00520833333333
97 43 7F,C major,0.234375
87 43 7F,C major,0.21875
82 32 7F,C major,0.0104166666667
9A 45 7F,C major,0.00651041666667
97 37 7F,C major
8A 45 7F,C major,0.21875
9C 47 7F,C major,0.015625
87 37 7F,C major,0.217447916667
8C 47 7F,C major,0.00130208333333
90 48 7F,C major,0.015625
96 36 7F,C major
80 48 7F,C major,0.231770833333
9A 45 7F,C major,0.00260416666667
8A 45 7F,C major,0.21875
86 36 7F,C major,0.0104166666667
9C 47 7F,C major,0.00651041666667
97 37 7F,C major
8C 47 7F,C major,0.231770833333
97 43 7F,C major,0.00260416666667
87 37 7F,C major,0.217447916667
87 43 7F,C major,0.00130208333333
96 42 7F,C major,0.015625
9A 39 7F,C major
8A 39 7F,C major,0.229166666667
92 32 7F,C major,0.00520833333333
82 32 7F,C major,0.229166666667
86 42 7F,C major
94 34 7F,C major,0.00651041666667
84 34 7F,C major,0.229166666667
96 36 7F,C major,0.00520833333333
86 36 7F,C major,0.229166666667
97 37 7F,C major,0.00520833333333
87 37 7F,C major,0.229166666667
94 34 7F,C major,0.00520833333333
84 34 7F,C major,0.229166666667
96 36 7F,C major,0.00651041666667
86 36 7F,C major,0.229166666667
92 32 7F,C major,0.00520833333333
82 32 7F,C major,0.229166666667
9A 39 7F,C major,0.00520833333333
9A 45 7F,C major,0.234375
8A 45 7F,C major,0.21875
8A 39 7F,C major,0.0104166666667
9C 47 7F,C major,0.00651041666667
92 3E 7F,C major
8C 47 7F,C major,0.21875
90 48 7F,C major,0.015625
82 3E 7F,C major,0.217447916667
80 48 7F,C major,0.00130208333333
92 4A 7F,C major,0.015625
90 3C 7F,C major
82 4A 7F,C major,0.231770833333
9C 47 7F,C major,0.00260416666667
8C 47 7F,C major,0.21875
80 3C 7F,C major,0.0104166666667
90 48 7F,C major,0.00651041666667
92 3E 7F,C major
80 48 7F,C major,0.231770833333
9A 45 7F,C major,0.00260416666667
82 3E 7F,C major,0.217447916667
8A 45 7F,C major,0.00130208333333
9C 47 7F,C major,0.015625
97 37 7F,C major
87 37 7F,C major,0.229166666667
97 43 7F,C major,0.00520833333333
87 43 7F,C major,0.229166666667
95 41 7F,C major,0.00651041666667
85 41 7F,C major,0.229166666667
94 40 7F,C major,0.00520833333333
84 40 7F,C major,0.229166666667
92 3E 7F,C major,0.00520833333333
82 3E 7F,C major,0.229166666667
8C 47 7F,C major,0.00520833333333
95 41 7F,C major
85 41 7F,C major,0.229166666667
94 40 7F,C major,0.00651041666667
84 40 7F,C major,0.229166666667
97 43 7F,C major,0.00520833333333
87 43 7F,C major,0.229166666667
95 41 7F,C major,0.00520833333333
92 4A 7F,C major,0.234375
82 4A 7F,C major,0.21875
85 41 7F,C major,0.0104166666667
90 48 7F,C major,0.00651041666667
94 40 7F,C major
80 48 7F,C major,0.21875
9C 47 7F,C major,0.015625
8C 47 7F,C major,0.21875
84 40 7F,C major,0.0104166666667
9A 45 7F,C major,0.00520833333333
95 41 7F,C major
8A 45 7F,C major,0.231770833333
90 48 7F,C major,0.00260416666667
80 48 7F,C major,0.21875
85 41 7F,C major,0.0104166666667
9C 47 7F,C major,0.00651041666667
92 3E 7F,C major
8C 47 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.21875
82 3E 7F,C major,0.0104166666667
90 48 7F,C major,0.00520833333333
94 40 7F,C major
9C 47 7F,C major,0.122395833333
80 48 7F,C major,0.00390625
84 40 7F,C major,0.102864583333
9A 45 7F,C major,0.00520833333333
90 48 7F,C major,0.00911458333333
8C 47 7F,C major,0.00520833333333
8A 45 7F,C major,0.21484375
97 43 7F,C major,0.00651041666667
87 43 7F,C major,0.229166666667
95 41 7F,C major,0.00520833333333
85 41 7F,C major,0.229166666667
94 40 7F,C major,0.00520833333333
84 40 7F,C major,0.229166666667
97 43 7F,C major,0.00520833333333
87 43 7F,C major,0.229166666667
95 41 7F,C major,0.00651041666667
85 41 7F,C major,0.229166666667
9A 45 7F,C major,0.00520833333333
8A 45 7F,C major,0.229166666667
97 43 7F,C major,0.00520833333333
80 48 7F,C major,0.00130208333333
94 4C 7F,C major,0.233072916667
84 4C 7F,C major,0.21875
87 43 7F,C major,0.0104166666667
92 4A 7F,C major,0.00651041666667
95 41 7F,C major
82 4A 7F,C major,0.21875
90 48 7F,C major,0.015625
80 48 7F,C major,0.21875
85 41 7F,C major,0.0104166666667
9C 47 7F,C major,0.00520833333333
97 43 7F,C major
8C 47 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.21875
87 43 7F,C major,0.0104166666667
91 49 7F,C major,0.00651041666667
94 40 7F,C major
81 49 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 4C 7F,C major,0.21875
84 40 7F,C major,0.0104166666667
92 4A 7F,C major,0.00520833333333
95 41 7F,C major
85 41 7F,C major,0.229166666667
9B 46 7F,C major,0.00520833333333
8B 46 7F,C major,0.229166666667
82 4A 7F,C major,0.00260416666667
91 49 7F,C major,0.00390625
9A 45 7F,C major
8A 45 7F,C major,0.229166666667
97 43 7F,C major,0.00520833333333
81 49 7F,C major,0.217447916667
87 43 7F,C major,0.01171875
92 4A 7F,C major,0.00520833333333
95 41 7F,C major
85 41 7F,C major,0.229166666667
9A 45 7F,C major,0.00520833333333
8A 45 7F,C major,0.229166666667
82 4A 7F,C major,0.00260416666667
95 4D 7F,C major,0.00390625
97 43 7F,C major
85 4D 7F,C major,0.11328125
94 4C 7F,C major,0.00260416666667
87 43 7F,C major,0.11328125
84 4C 7F,C major,0.00130208333333
92 4A 7F,C major,0.00390625
9B 46 7F,C major
82 4A 7F,C major,0.11328125
94 4C 7F,C major,0.00260416666667
8B 46 7F,C major,0.11328125
84 4C 7F,C major,0.00130208333333
95 4D 7F,C major,0.00390625
9A 45 7F,C major
8A 45 7F,C major,0.229166666667
97 43 7F,C major,0.00520833333333
87 43 7F,C major,0.229166666667
85 4D 7F,C major,0.00260416666667
9A 45 7F,C major,0.00390625
95 41 7F,C major
85 41 7F,C major,0.229166666667
94 40 7F,C major,0.00520833333333
8A 45 7F,C major,0.217447916667
84 40 7F,C major,0.01171875
9C 47 7F,C major,0.00520833333333
92 3E 7F,C major
82 3E 7F,C major,0.229166666667
95 41 7F,C major,0.00520833333333
85 41 7F,C major,0.229166666667
8C 47 7F,C major,0.00260416666667
92 4A 7F,C major,0.00390625
94 40 7F,C major
82 4A 7F,C major,0.11328125
91 49 7F,C major,0.00260416666667
84 40 7F,C major,0.11328125
81 49 7F,C major,0.00130208333333
9C 47 7F,C major,0.00390625
97 43 7F,C major
8C 47 7F,C major,0.11328125
91 49 7F,C major,0.00260416666667
87 43 7F,C major,0.11328125
81 49 7F,C major,0.00130208333333
92 4A 7F,C major,0.00390625
95 41 7F,C major
85 41 7F,C major,0.229166666667
94 40 7F,C major,0.00520833333333
84 40 7F,C major,0.229166666667
82 4A 7F,C major,0.00260416666667
96 42 7F,C major,0.00390625
92 3E 7F,C major
82 3E 7F,C major,0.229166666667
90 3C 7F,C major,0.00520833333333
86 42 7F,C major,0.217447916667
80 3C 7F,C major,0.01171875
98 44 7F,C major,0.00520833333333
9C 3B 7F,C major
8C 3B 7F,C major,0.229166666667
92 3E 7F,C major,0.00520833333333
82 3E 7F,C major,0.229166666667
88 44 7F,C major,0.00260416666667
9A 45 7F,C major,0.00390625
90 3C 7F,C major
80 3C 7F,C major,0.229166666667
94 40 7F,C major,0.00520833333333
8A 45 7F,C major,0.217447916667
84 40 7F,C major,0.01171875
9C 47 7F,C major,0.00520833333333
92 3E 7F,C major
82 3E 7F,C major,0.229166666667
90 3C 7F,C major,0.00520833333333
80 3C 7F,C major,0.229166666667
8C 47 7F,C major,0.00260416666667
90 48 7F,C major,0.00390625
9C 3B 7F,C major
8C 3B 7F,C major,0.229166666667
9A 39 7F,C major,0.00520833333333
80 48 7F,C major,0.217447916667
8A 39 7F,C major,0.01171875
9C 47 7F,C major,0.00520833333333
98 38 7F,C major
90 48 7F,C major,0.122395833333
8C 47 7F,C major,0.00390625
88 38 7F,C major,0.102864583333
9C 3B 7F,C major,0.00520833333333
92 4A 7F,C major,0.00911458333333
80 48 7F,C major,0.00520833333333
8C 3B 7F,C major,0.21484375
9A 39 7F,C major,0.00651041666667
8A 39 7F,C major,0.229166666667
90 3C 7F,C major,0.00520833333333
80 3C 7F,C major,0.229166666667
9C 3B 7F,C major,0.00520833333333
82 4A 7F,C major,0.00520833333333
94 40 7F,C major,0.227864583333
8C 3B 7F,C major,0.229166666667
84 40 7F,C major,0.00260416666667
96 42 7F,C major,0.00260416666667
94 34 7F,C major
86 42 7F,C major,0.21875
98 44 7F,C major,0.0169270833333
88 44 7F,C major,0.21875
84 34 7F,C major,0.00911458333333
9A 45 7F,C major,0.00651041666667
92 3E 7F,C major
82 3E 7F,C major,0.111979166667
90 3C 7F,C major,0.0104166666667
8A 45 7F,C major,0.109375
80 3C 7F,C major,0.00260416666667
96 42 7F,C major
92 3E 7F,C major,0.00911458333333
86 42 7F,C major,0.208333333333
98 44 7F,C major,0.015625
88 44 7F,C major,0.231770833333
94 40 7F,C major,0.00390625
82 3E 7F,C major,0.14453125
84 40 7F,C major,0.07421875
94 4C 7F,C major,0.015625
90 3C 7F,C major
80 3C 7F,C major,0.229166666667
84 4C 7F,C major,0.00260416666667
92 4A 7F,C major,0.00260416666667
9C 3B 7F,C major
82 4A 7F,C major,0.21875
8C 3B 7F,C major,0.0104166666667
90 48 7F,C major,0.00520833333333
9A 39 7F,C major
8A 39 7F,C major,0.229166666667
80 48 7F,C major,0.00260416666667
94 4C 7F,C major,0.00390625
97 37 7F,C major
84 4C 7F,C major,0.21875
87 37 7F,C major,0.0104166666667
92 4A 7F,C major,0.00520833333333
96 36 7F,C major
86 36 7F,C major,0.229166666667
82 4A 7F,C major,0.00260416666667
90 48 7F,C major,0.00260416666667
9A 39 7F,C major
80 48 7F,C major,0.21875
8A 39 7F,C major,0.0104166666667
9C 47 7F,C major,0.00520833333333
98 38 7F,C major
88 38 7F,C major,0.229166666667
8C 47 7F,C major,0.00260416666667
92 4A 7F,C major,0.00390625
9C 3B 7F,C major
82 4A 7F,C major,0.21875
8C 3B 7F,C major,0.0104166666667
90 48 7F,C major,0.00520833333333
9A 39 7F,C major
8A 39 7F,C major,0.229166666667
80 48 7F,C major,0.00260416666667
9A 51 7F,C major,0.00260416666667
90 3C 7F,C major
8A 51 7F,C major,0.21875
80 3C 7F,C major,0.0104166666667
98 50 7F,C major,0.00520833333333
9C 3B 7F,C major
8C 3B 7F,C major,0.229166666667
88 50 7F,C major,0.00260416666667
9C 53 7F,C major,0.00390625
92 3E 7F,C major
8C 53 7F,C major,0.21875
82 3E 7F,C major,0.0104166666667
9A 51 7F,C major,0.00520833333333
90 3C 7F,C major
80 3C 7F,C major,0.229166666667
8A 51 7F,C major,0.00260416666667
94 4C 7F,C major,0.00260416666667
94 40 7F,C major
84 4C 7F,C major,0.21875
84 40 7F,C major,0.0104166666667
95 4D 7F,C major,0.00520833333333
92 3E 7F,C major
82 3E 7F,C major,0.229166666667
85 4D 7F,C major,0.00260416666667
92 4A 7F,C major,0.00390625
95 41 7F,C major
82 4A 7F,C major,0.205729166667
85 41 7F,C major,0.00130208333333
98 44 7F,C major,0.02734375
94 40 7F,C major
88 44 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.21875
84 40 7F,C major,0.0104166666667
94 4C 7F,C major,0.00520833333333
9A 39 7F,C major
84 4C 7F,C major,0.21875
92 4A 7F,C major,0.0169270833333
82 4A 7F,C major,0.212239583333
8A 39 7F,C major,0.00520833333333
92 4A 7F,C major,0.0169270833333
94 40 7F,C major
82 4A 7F,C major,0.11328125
90 48 7F,C major,0.00390625
80 48 7F,C major,0.11328125
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.11328125
90 48 7F,C major,0.00390625
84 40 7F,C major,0.111979166667
80 48 7F,C major,0.00260416666667
9C 47 7F,C major,0.00260416666667
94 34 7F,C major
8C 47 7F,C major,0.231770833333
9A 45 7F,C major,0.00390625
84 34 7F,C major,0.216145833333
8A 45 7F,C major,0.00911458333333
9A 45 7F,C major,0.00911458333333
9A 39 7F,C major
9A 51 7F,C major,0.234375
8A 45 7F,C major,0.0403645833333
8A 51 7F,C major,0.19140625
97 4F 7F,C major,0.00260416666667
9A 2D 7F,C major
87 4F 7F,C major,0.231770833333
95 4D 7F,C major,0.00390625
85 4D 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 4C 7F,C major,0.231770833333
97 4F 7F,C major,0.00260416666667
87 4F 7F,C major,0.231770833333
8A 39 7F,C major
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.231770833333
8A 2D 7F,C major,0.00260416666667
9A 51 7F,C major,0.00130208333333
8A 51 7F,C major,0.231770833333
97 4F 7F,C major,0.00260416666667
87 4F 7F,C major,0.11328125
95 4D 7F,C major,0.00390625
85 4D 7F,C major,0.11328125
97 4F 7F,C major,0.00260416666667
94 40 7F,C major
84 40 7F,C major,0.229166666667
92 3E 7F,C major,0.00520833333333
82 3E 7F,C major,0.229166666667
90 3C 7F,C major,0.00651041666667
80 3C 7F,C major,0.229166666667
9C 3B 7F,C major,0.00520833333333
8C 3B 7F,C major,0.229166666667
92 3E 7F,C major,0.00520833333333
82 3E 7F,C major,0.229166666667
91 3D 7F,C major,0.00520833333333
81 3D 7F,C major,0.229166666667
94 40 7F,C major,0.00651041666667
84 40 7F,C major,0.229166666667
92 3E 7F,C major,0.00520833333333
82 3E 7F,C major,0.111979166667
91 3D 7F,C major,0.00651041666667
81 3D 7F,C major,0.111979166667
87 4F 7F,C major,0.00130208333333
94 4C 7F,C major,0.00390625
92 3E 7F,C major
84 4C 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.231770833333
97 4F 7F,C major,0.00390625
87 4F 7F,C major,0.231770833333
9A 51 7F,C major,0.00260416666667
8A 51 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.231770833333
97 4F 7F,C major,0.00260416666667
87 4F 7F,C major,0.231770833333
94 4C 7F,C major,0.00390625
84 4C 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.11328125
82 3E 7F,C major,0.00260416666667
94 4C 7F,C major,0.00130208333333
84 4C 7F,C major,0.11328125
95 4D 7F,C major,0.00260416666667
9A 39 7F,C major
8A 39 7F,C major,0.229166666667
9C 3B 7F,C major,0.00520833333333
8C 3B 7F,C major,0.229166666667
90 3C 7F,C major,0.00651041666667
80 3C 7F,C major,0.229166666667
92 3E 7F,C major,0.00520833333333
82 3E 7F,C major,0.229166666667
9C 3B 7F,C major,0.00520833333333
8C 3B 7F,C major,0.229166666667
90 3C 7F,C major,0.00520833333333
80 3C 7F,C major,0.229166666667
9A 39 7F,C major,0.00651041666667
8A 39 7F,C major,0.229166666667
9C 3B 7F,C major,0.00520833333333
8C 3B 7F,C major,0.111979166667
9A 39 7F,C major,0.00651041666667
8A 39 7F,C major,0.111979166667
85 4D 7F,C major,0.00130208333333
97 4F 7F,C major,0.00390625
9C 3B 7F,C major
87 4F 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.231770833333
94 4C 7F,C major,0.00390625
84 4C 7F,C major,0.231770833333
92 4A 7F,C major,0.00260416666667
82 4A 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.231770833333
94 4C 7F,C major,0.00260416666667
84 4C 7F,C major,0.231770833333
97 4F 7F,C major,0.00390625
87 4F 7F,C major,0.231770833333
95 4D 7F,C major,0.00260416666667
85 4D 7F,C major,0.11328125
8C 3B 7F,C major,0.00260416666667
94 4C 7F,C major,0.00130208333333
84 4C 7F,C major,0.11328125
95 4D 7F,C major,0.00260416666667
92 3E 7F,C major
82 3E 7F,C major,0.229166666667
90 3C 7F,C major,0.00520833333333
80 3C 7F,C major,0.229166666667
9C 3B 7F,C major,0.00651041666667
8C 3B 7F,C major,0.229166666667
9A 39 7F,C major,0.00520833333333
8A 39 7F,C major,0.229166666667
90 3C 7F,C major,0.00520833333333
80 3C 7F,C major,0.229166666667
9C 3B 7F,C major,0.00520833333333
8C 3B 7F,C major,0.229166666667
92 3E 7F,C major,0.00651041666667
82 3E 7F,C major,0.229166666667
90 3C 7F,C major,0.00520833333333
80 3C 7F,C major,0.111979166667
9C 3B 7F,C major,0.00651041666667
8C 3B 7F,C major,0.111979166667
85 4D 7F,C major,0.00130208333333
